Time,RAINRATE,Q2D,T2D,U2D,V2D,LWDOWN,SWDOWN,PSFC
2016-01-04 08:00:00,0.0,0.003598444711660132,276.9917581380381,2.976098659669375,-4.300000064074993,267.77201433372005,0.0,101003.36376803846
2016-01-04 09:00:00,0.0,0.003340332305149886,276.48935714721773,2.3634027860965667,-4.300000064074993,289.16414342165945,0.0,100980.78912086676
2016-01-04 10:00:00,0.0,0.0032497840836153975,275.3639829255347,1.5000000223517418,-4.799422767947169,284.71415398521015,0.0,101040.48982280713
2016-01-04 11:00:00,0.0,0.003175714766665292,275.16963914583096,0.800000011920929,-5.271752278758317,284.1104796039456,0.0,101108.15080714827
2016-01-04 12:00:00,0.0,0.0030754284486020998,274.7504416751076,0.002197415102457027,-5.69379467166528,301.81051063329704,0.0,101177.90054367331
2016-01-04 13:00:00,0.0,0.0028944011698045662,274.44409338749296,-0.28450053696679295,-6.000000089406967,300.4270171023753,43.364461722463965,101228.50435948081
2016-01-04 14:00:00,1.3735223142003518e-05,0.0029055997983681776,273.96755233448226,-0.5739650521931352,-6.3000000938773155,299.7305719333272,95.27063495722298,101297.23054868578
2016-01-04 15:00:00,0.0,0.0029679751515298922,273.70644245009424,-0.8655467999218691,-6.535866843614153,294.0510788889101,137.64406600359666,101294.87923683721
2016-01-04 16:00:00,0.0,0.002992813782021481,273.0087048357469,-0.5845005414371414,-7.200000107288361,292.8837354332644,172.5624579599273,101372.03613339717
2016-01-04 17:00:00,0.0,0.0028456998335912773,273.0748815493394,-0.3696081695655824,-7.7978027011266,293.6243657056088,178.449430754218,101326.90231765204
2016-01-04 18:00:00,0.0,0.0028295721047671757,272.4387754030999,-0.10000000149011612,-8.3845006576662,278.56617274730974,210.07494665008355,101303.70001261868
2016-01-04 19:00:00,4.575682182209675e-06,0.002551729485290275,272.04594684015694,-0.0978025863876591,-8.373117005153896,276.15509148005094,163.09697859959235,101320.88004350709
2016-01-04 20:00:00,0.0,0.0024153018364098835,271.3815400855545,-0.08856018081660612,-8.295167244738112,273.4030892391557,105.72158192814364,101504.95546216772
2016-01-04 21:00:00,1.7167474780648007e-05,0.002454369430321996,270.76009734327755,-0.08209509643112173,-8.27944938654549,250.90357489325163,31.350120028550215,101608.62930120542
2016-01-04 22:00:00,0.0,0.0022801796687030706,270.36161986538764,-0.5048976142338997,-8.889975575478504,249.8019411946736,0.0,101740.39401087395
2016-01-04 23:00:00,0.0,0.002139894324967567,270.2610959174233,-0.9760986298670523,-9.55567557175135,250.08660443228,0.0,101815.991609152
2016-01-05 00:00:00,4.961207621701029e-06,0.0019515790920959107,270.1837496049264,-1.4655468088625658,-10.162533127916367,216.66973076259174,0.0,101882.01682822256
2016-01-05 01:00:00,6.3864465623690765e-06,0.0018708253168504651,270.0501513291988,-1.6631103048349023,-9.983923377929651,217.9773709694555,0.0,101988.49437203878
2016-01-05 02:00:00,6.3864465623690765e-06,0.0017495265498302308,269.40147862426517,-1.8562527605908132,-9.86511117481529,217.44902159129853,0.0,102089.96518456357
2016-01-05 03:00:00,0.0,0.0016417971401423543,268.5745821592344,-2.055675459992641,-9.700000144541264,243.37533856846358,0.0,102202.01637325739
2016-01-05 04:00:00,0.0,0.0015997107979366263,267.8345886949647,-1.6711749215357317,-10.771752360714704,241.14636164251235,0.0,102291.84514163277
2016-01-05 05:00:00,0.0,0.0014966298429945164,266.9622946663183,-1.2760986343374006,-11.85567560602402,238.14459847728702,0.0,102367.58799227151
2016-01-05 06:00:00,0.0,0.0014360608859777186,266.27492755071535,-0.9000000134110451,-12.939282829380543,218.36492496511994,0.0,102435.0910710819
2016-01-05 07:00:00,0.0,0.0014738795875983085,265.73045261099674,-0.9000000134110451,-12.061874358107946,219.56776083031878,0.0,102627.34595274474
2016-01-05 08:00:00,0.0,0.0014740183993585364,265.3921857859246,-0.8994227098326404,-11.248056650544555,221.08316200626612,0.0,102708.83657969732
2016-01-05 09:00:00,0.0,0.001442945447026791,264.85629018077344,-0.8845005459074897,-10.374186576970732,237.55014314732557,0.0,102756.59290109767
